keyword,title,price,raw_price,old_price,extracted_old_price,rating,reviews,platform,position,delivery,link,thumbnail,brand,price_range,visibility_score,discount_percentage
men running shoes,HP men running shoes Model 425,1105.0,,,,,69,Amazon,,5 Days,,,HP,Mid-Range,,
power bank fast charging,Boat power bank fast charging Model 924,33465.0,,,,3.0,939,Amazon,,5 Days,,,Boat,Luxury,,
office chair ergonomic,Sony office chair ergonomic Model 865,17134.0,,,,3.5,2274,Amazon,,Free Delivery,,,Unknown,Premium,,
power bank fast charging,Puma power bank fast charging Model 422,20958.0,,,,3.3,427,Amazon,,5 Days,,,Puma,Luxury,,
men running shoes,Sony men running shoes Model 146,17182.0,,,,3.5,500,Amazon,,Free Delivery,,,Unknown,Premium,,
air fryer India,Dell air fryer India Model 222,46717.0,,,,4.4,4987,Amazon,,2 Days,,,Dell,Luxury,,
air fryer India,Samsung air fryer India Model 964,40114.0,,,,4.5,2842,Croma,,5 Days,,,Samsung,Luxury,,
men running shoes,Samsung men running shoes Model 589,2849.0,,,,2.7,4466,Amazon,,2 Days,,,Samsung,Mid-Range,,
air fryer India,Nike air fryer India Model 172,28087.0,,,,4.2,2788,Croma,,Free Delivery,,,Nike,Luxury,,
microwave oven convection,Nike microwave oven convection Model 875,,,,,2.7,221,Croma,,Free Delivery,,,Nike,Unknown,,
microwave oven convection,HP microwave oven convection Model 749,11799.0,,,,,2729,Croma,,2 Days,,,HP,Premium,,
microwave oven convection,Puma microwave oven convection Model 258,36850.0,,,,4.9,1104,Reliance Digital,,Free Delivery,,,Puma,Luxury,,
men running shoes,HP men running shoes Model 608,22065.0,,,,4.9,2727,Amazon,,Free Delivery,,,HP,Luxury,,
power bank fast charging,Puma power bank fast charging Model 468,43895.0,,,,4.0,4829,Croma,,5 Days,,,Puma,Luxury,,
office chair ergonomic,Dell office chair ergonomic Model 627,25413.0,,,,4.4,1324,Flipkart,,5 Days,,,Dell,Luxury,,
office chair ergonomic,Dell office chair ergonomic Model 330,35292.0,,,,2.7,4225,Reliance Digital,,2 Days,,,Dell,Luxury,,
men running shoes,Philips men running shoes Model 659,7470.0,,,,3.5,3046,Croma,,2 Days,,,Philips,Premium,,
power bank fast charging,Dell power bank fast charging Model 883,34235.0,,,,2.7,200,Reliance Digital,,Free Delivery,,,Dell,Luxury,,
office chair ergonomic,HP office chair ergonomic Model 873,43509.0,,,,,4035,Reliance Digital,,2 Days,,,HP,Luxury,,
men running shoes,Samsung men running shoes Model 200,13528.0,,,,3.3,2011,Flipkart,,Free Delivery,,,Samsung,Premium,,
office chair ergonomic,Puma office chair ergonomic Model 753,1131.0,,,,3.9,4694,Reliance Digital,,2 Days,,,Puma,Mid-Range,,
men running shoes,HP men running shoes Model 563,42681.0,,,,3.5,3907,Flipkart,,5 Days,,,HP,Luxury,,
air fryer India,Dell air fryer India Model 284,44863.0,,,,4.8,4625,Flipkart,,Free Delivery,,,Dell,Luxury,,
air fryer India,LG air fryer India Model 400,36846.0,,,,4.5,1363,Croma,,2 Days,,,LG,Luxury,,
men running shoes,LG men running shoes Model 614,1680.0,,,,2.7,4120,Reliance Digital,,Free Delivery,,,LG,Mid-Range,,
office chair ergonomic,Boat office chair ergonomic Model 922,11394.0,,,,3.7,,Reliance Digital,,5 Days,,,Boat,Premium,,
microwave oven convection,Boat microwave oven convection Model 757,,,,,4.1,3765,Amazon,,5 Days,,,Boat,Unknown,,
men running shoes,Boat men running shoes Model 296,10726.0,,,,,3096,Flipkart,,Free Delivery,,,Boat,Premium,,
men running shoes,Dell men running shoes Model 338,,,,,4.8,541,Reliance Digital,,5 Days,,,Dell,Unknown,,
power bank fast charging,Philips power bank fast charging Model 166,43776.0,,,,3.3,3844,Croma,,5 Days,,,Philips,Luxury,,
air fryer India,Puma air fryer India Model 883,103500.0,,,,4.3,4194,Amazon,,5 Days,,,Puma,Luxury,,
men running shoes,Sony men running shoes Model 835,5646.0,,,,4.2,3419,Amazon,,5 Days,,,Unknown,Premium,,
power bank fast charging,Boat power bank fast charging Model 483,26374.0,,,,4.4,2145,Flipkart,,2 Days,,,Boat,Luxury,,
microwave oven convection,Boat microwave oven convection Model 957,23854.0,,,,4.8,3087,Flipkart,,5 Days,,,Boat,Luxury,,
men running shoes,Puma men running shoes Model 709,,,,,2.6,4933,Amazon,,5 Days,,,Puma,Unknown,,
power bank fast charging,Boat power bank fast charging Model 651,11700.0,,,,4.4,1813,Reliance Digital,,2 Days,,,Boat,Premium,,
air fryer India,HP air fryer India Model 603,46330.0,,,,4.4,1403,Amazon,,5 Days,,,HP,Luxury,,
air fryer India,Dell air fryer India Model 962,33577.0,,,,2.9,991,Amazon,,Free Delivery,,,Dell,Luxury,,
air fryer India,Puma air fryer India Model 736,,,,,3.5,2305,Croma,,2 Days,,,Puma,Unknown,,
microwave oven convection,Boat microwave oven convection Model 128,20084.0,,,,,2575,Amazon,,Free Delivery,,,Boat,Luxury,,
microwave oven convection,Puma microwave oven convection Model 943,18372.0,,,,4.2,367,Croma,,5 Days,,,Puma,Premium,,
office chair ergonomic,Nike office chair ergonomic Model 944,21252.0,,,,3.0,3789,Reliance Digital,,2 Days,,,Nike,Luxury,,
men running shoes,Puma men running shoes Model 319,34307.0,,,,4.1,1256,Flipkart,,Free Delivery,,,Puma,Luxury,,
office chair ergonomic,Puma office chair ergonomic Model 984,,,,,4.6,2494,Flipkart,,Free Delivery,,,Puma,Unknown,,
air fryer India,Puma air fryer India Model 791,35653.0,,,,3.6,4443,Reliance Digital,,5 Days,,,Puma,Luxury,,
men running shoes,Samsung men running shoes Model 540,17273.0,,,,3.6,561,Croma,,Free Delivery,,,Samsung,Premium,,
air fryer India,Boat air fryer India Model 608,10828.0,,,,3.3,4277,Flipkart,,5 Days,,,Boat,Premium,,
men running shoes,Boat men running shoes Model 710,46350.0,,,,3.6,2345,Reliance Digital,,Free Delivery,,,Boat,Luxury,,
air fryer India,Philips air fryer India Model 545,5049.0,,,,4.4,557,Amazon,,2 Days,,,Philips,Premium,,
power bank fast charging,LG power bank fast charging Model 952,43614.0,,,,5.0,3948,Croma,,2 Days,,,LG,Luxury,,
microwave oven convection,LG microwave oven convection Model 640,,,,,3.4,2664,Amazon,,Free Delivery,,,LG,Unknown,,
microwave oven convection,Puma microwave oven convection Model 551,,,,,2.7,4482,Amazon,,5 Days,,,Puma,Unknown,,
power bank fast charging,Samsung power bank fast charging Model 946,17773.0,,,,3.6,587,Amazon,,Free Delivery,,,Samsung,Premium,,
power bank fast charging,Boat power bank fast charging Model 239,4103.0,,,,4.7,4335,Amazon,,2 Days,,,Boat,Mid-Range,,
air fryer India,HP air fryer India Model 541,44752.0,,,,4.6,3692,Reliance Digital,,2 Days,,,HP,Luxury,,
men running shoes,Boat men running shoes Model 227,380730.0,,,,2.9,1574,Croma,,2 Days,,,Boat,Luxury,,
microwave oven convection,Puma microwave oven convection Model 925,32710.0,,,,3.1,3780,Reliance Digital,,2 Days,,,Puma,Luxury,,
men running shoes,Nike men running shoes Model 773,12222.0,,,,4.3,3755,Amazon,,5 Days,,,Nike,Premium,,
microwave oven convection,LG microwave oven convection Model 518,,,,,3.5,2553,Amazon,,5 Days,,,LG,Unknown,,
men running shoes,Boat men running shoes Model 475,10153.0,,,,2.9,3274,Amazon,,5 Days,,,Boat,Premium,,
microwave oven convection,Puma microwave oven convection Model 774,,,,,3.2,3544,Amazon,,Free Delivery,,,Puma,Unknown,,
air fryer India,HP air fryer India Model 607,28433.0,,,,,2110,Amazon,,2 Days,,,HP,Luxury,,
power bank fast charging,Sony power bank fast charging Model 131,6862.0,,,,3.9,1670,Croma,,5 Days,,,Unknown,Premium,,
microwave oven convection,Samsung microwave oven convection Model 132,2008.0,,,,4.8,2465,Croma,,5 Days,,,Samsung,Mid-Range,,
men running shoes,Dell men running shoes Model 598,32326.0,,,,4.8,3889,Croma,,2 Days,,,Dell,Luxury,,
men running shoes,Puma men running shoes Model 152,39884.0,,,,3.0,491,Reliance Digital,,2 Days,,,Puma,Luxury,,
microwave oven convection,Dell microwave oven convection Model 270,35994.0,,,,2.7,2870,Flipkart,,5 Days,,,Dell,Luxury,,
air fryer India,Dell air fryer India Model 786,28304.0,,,,4.4,2261,Reliance Digital,,2 Days,,,Dell,Luxury,,
air fryer India,Samsung air fryer India Model 883,5559.0,,,,,3803,Croma,,Free Delivery,,,Samsung,Premium,,
microwave oven convection,Boat microwave oven convection Model 754,2828.0,,,,3.2,1712,Reliance Digital,,5 Days,,,Boat,Mid-Range,,
power bank fast charging,Sony power bank fast charging Model 631,35507.0,,,,3.1,4810,Amazon,,5 Days,,,Unknown,Luxury,,
microwave oven convection,LG microwave oven convection Model 213,40084.0,,,,3.6,1704,Croma,,Free Delivery,,,LG,Luxury,,
office chair ergonomic,LG office chair ergonomic Model 315,39361.0,,,,3.9,405,Croma,,Free Delivery,,,LG,Luxury,,
office chair ergonomic,Sony office chair ergonomic Model 904,32777.0,,,,4.4,774,Croma,,Free Delivery,,,Unknown,Luxury,,
power bank fast charging,Sony power bank fast charging Model 298,16898.0,,,,4.2,4324,Reliance Digital,,Free Delivery,,,Unknown,Premium,,
office chair ergonomic,Puma office chair ergonomic Model 876,123310.0,,,,3.3,2499,Flipkart,,Free Delivery,,,Puma,Luxury,,
air fryer India,Puma air fryer India Model 363,28760.0,,,,4.9,1266,Reliance Digital,,Free Delivery,,,Puma,Luxury,,
office chair ergonomic,Sony office chair ergonomic Model 246,40731.0,,,,4.7,4537,Reliance Digital,,Free Delivery,,,Unknown,Luxury,,
microwave oven convection,HP microwave oven convection Model 564,8799.0,,,,3.5,4884,Amazon,,Free Delivery,,,HP,Premium,,
microwave oven convection,Puma microwave oven convection Model 837,45797.0,,,,4.4,3484,Amazon,,5 Days,,,Puma,Luxury,,
microwave oven convection,Boat microwave oven convection Model 306,16492.0,,,,2.6,4233,Reliance Digital,,5 Days,,,Boat,Premium,,
office chair ergonomic,Sony office chair ergonomic Model 231,19356.0,,,,3.3,3401,Reliance Digital,,Free Delivery,,,Unknown,Premium,,
microwave oven convection,Philips microwave oven convection Model 970,,,,,3.6,387,Amazon,,5 Days,,,Philips,Unknown,,
microwave oven convection,LG microwave oven convection Model 208,4378.0,,,,,646,Amazon,,2 Days,,,LG,Mid-Range,,
microwave oven convection,Samsung microwave oven convection Model 981,24681.0,,,,4.6,2547,Flipkart,,5 Days,,,Samsung,Luxury,,
men running shoes,HP men running shoes Model 362,43372.0,,,,2.9,705,Reliance Digital,,5 Days,,,HP,Luxury,,
office chair ergonomic,HP office chair ergonomic Model 442,18356.0,,,,3.3,1514,Croma,,5 Days,,,HP,Premium,,
microwave oven convection,Sony microwave oven convection Model 539,25404.0,,,,3.3,3211,Reliance Digital,,5 Days,,,Unknown,Luxury,,
power bank fast charging,Puma power bank fast charging Model 689,44441.0,,,,3.3,3789,Amazon,,2 Days,,,Puma,Luxury,,
air fryer India,Dell air fryer India Model 524,18745.0,,,,4.4,1310,Flipkart,,Free Delivery,,,Dell,Premium,,
power bank fast charging,Nike power bank fast charging Model 495,45830.0,,,,4.5,3175,Croma,,2 Days,,,Nike,Luxury,,
office chair ergonomic,HP office chair ergonomic Model 581,20763.0,,,,3.4,4476,Croma,,Free Delivery,,,HP,Luxury,,
air fryer India,LG air fryer India Model 402,20591.0,,,,4.8,3083,Flipkart,,5 Days,,,LG,Luxury,,
power bank fast charging,LG power bank fast charging Model 599,,,,,5.0,4919,Croma,,2 Days,,,LG,Unknown,,
power bank fast charging,Philips power bank fast charging Model 444,46465.0,,,,3.9,451,Reliance Digital,,Free Delivery,,,Philips,Luxury,,
microwave oven convection,HP microwave oven convection Model 412,30081.0,,,,3.1,1743,Croma,,Free Delivery,,,HP,Luxury,,
microwave oven convection,Boat microwave oven convection Model 458,,,,,3.1,1093,Amazon,,5 Days,,,Boat,Unknown,,
men running shoes,Dell men running shoes Model 919,32059.0,,,,4.1,692,Amazon,,2 Days,,,Dell,Luxury,,
office chair ergonomic,Philips office chair ergonomic Model 756,28361.0,,,,,159,Reliance Digital,,Free Delivery,,,Philips,Luxury,,
men running shoes,Philips men running shoes Model 538,18724.0,,,,3.7,4023,Flipkart,,5 Days,,,Philips,Premium,,
microwave oven convection,HP microwave oven convection Model 932,,,,,3.7,4405,Reliance Digital,,5 Days,,,HP,Unknown,,
air fryer India,Sony air fryer India Model 462,,,,,,3710,Flipkart,,2 Days,,,Unknown,Unknown,,
men running shoes,Samsung men running shoes Model 620,10627.0,,,,2.6,1998,Amazon,,2 Days,,,Samsung,Premium,,
office chair ergonomic,Nike office chair ergonomic Model 625,4607.0,,,,2.9,1964,Reliance Digital,,5 Days,,,Nike,Mid-Range,,
microwave oven convection,Philips microwave oven convection Model 363,545.0,,,,4.5,3336,Reliance Digital,,2 Days,,,Philips,Budget,,
office chair ergonomic,Samsung office chair ergonomic Model 816,,,,,3.5,4253,Reliance Digital,,Free Delivery,,,Samsung,Unknown,,
power bank fast charging,Puma power bank fast charging Model 877,3589.0,,,,3.1,2943,Amazon,,2 Days,,,Puma,Mid-Range,,
air fryer India,Nike air fryer India Model 672,,,,,2.6,1638,Amazon,,Free Delivery,,,Nike,Unknown,,
microwave oven convection,Boat microwave oven convection Model 689,189420.0,,,,4.7,4390,Amazon,,5 Days,,,Boat,Luxury,,
men running shoes,Boat men running shoes Model 745,49612.0,,,,,4854,Amazon,,Free Delivery,,,Boat,Luxury,,
microwave oven convection,Dell microwave oven convection Model 311,41787.0,,,,3.0,4005,Amazon,,5 Days,,,Dell,Luxury,,
air fryer India,Boat air fryer India Model 698,46221.0,,,,,1104,Reliance Digital,,2 Days,,,Boat,Luxury,,
air fryer India,Sony air fryer India Model 515,9979.0,,,,4.4,424,Croma,,2 Days,,,Unknown,Premium,,
microwave oven convection,Sony microwave oven convection Model 488,,,,,3.1,2333,Amazon,,Free Delivery,,,Unknown,Unknown,,
men running shoes,Nike men running shoes Model 468,47880.0,,,,3.1,3824,Reliance Digital,,2 Days,,,Nike,Luxury,,
men running shoes,Dell men running shoes Model 209,,,,,4.0,674,Amazon,,5 Days,,,Dell,Unknown,,
men running shoes,LG men running shoes Model 853,,,,,2.8,1611,Croma,,5 Days,,,LG,Unknown,,
power bank fast charging,Nike power bank fast charging Model 679,26131.0,,,,4.4,209,Flipkart,,5 Days,,,Nike,Luxury,,
microwave oven convection,Boat microwave oven convection Model 520,6468.0,,,,4.1,4876,Amazon,,Free Delivery,,,Boat,Premium,,
power bank fast charging,HP power bank fast charging Model 689,46669.0,,,,4.3,2589,Amazon,,5 Days,,,HP,Luxury,,
microwave oven convection,LG microwave oven convection Model 441,1788.0,,,,4.4,713,Flipkart,,Free Delivery,,,LG,Mid-Range,,
men running shoes,Sony men running shoes Model 238,12511.0,,,,4.8,910,Flipkart,,2 Days,,,Unknown,Premium,,
air fryer India,LG air fryer India Model 409,30972.0,,,,3.5,2526,Croma,,5 Days,,,LG,Luxury,,
microwave oven convection,Philips microwave oven convection Model 744,12043.0,,,,3.9,3591,Croma,,5 Days,,,Philips,Premium,,
power bank fast charging,Puma power bank fast charging Model 707,34331.0,,,,,662,Amazon,,5 Days,,,Puma,Luxury,,
air fryer India,HP air fryer India Model 138,,,,,4.6,1009,Amazon,,5 Days,,,HP,Unknown,,
microwave oven convection,Samsung microwave oven convection Model 702,16855.0,,,,3.4,1687,Amazon,,Free Delivery,,,Samsung,Premium,,
air fryer India,Samsung air fryer India Model 320,25030.0,,,,3.7,3449,Reliance Digital,,Free Delivery,,,Samsung,Luxury,,
men running shoes,HP men running shoes Model 115,6514.0,,,,3.7,2024,Amazon,,Free Delivery,,,HP,Premium,,
men running shoes,Boat men running shoes Model 613,37203.0,,,,3.5,4794,Reliance Digital,,5 Days,,,Boat,Luxury,,
air fryer India,LG air fryer India Model 455,14463.0,,,,4.6,3414,Reliance Digital,,2 Days,,,LG,Premium,,
microwave oven convection,Sony microwave oven convection Model 900,,,,,,,Reliance Digital,,Free Delivery,,,Unknown,Unknown,,
power bank fast charging,LG power bank fast charging Model 410,14986.0,,,,3.1,2293,Reliance Digital,,5 Days,,,LG,Premium,,
office chair ergonomic,LG office chair ergonomic Model 901,10247.0,,,,3.6,2696,Reliance Digital,,2 Days,,,LG,Premium,,
air fryer India,Sony air fryer India Model 538,,,,,4.0,39,Flipkart,,Free Delivery,,,Unknown,Unknown,,
power bank fast charging,Philips power bank fast charging Model 534,35646.0,,,,4.7,2485,Amazon,,Free Delivery,,,Philips,Luxury,,
men running shoes,Philips men running shoes Model 324,24783.0,,,,3.0,1077,Croma,,2 Days,,,Philips,Luxury,,
air fryer India,Sony air fryer India Model 915,21233.0,,,,4.6,57,Croma,,2 Days,,,Unknown,Luxury,,
office chair ergonomic,Dell office chair ergonomic Model 372,,,,,3.6,389,Croma,,2 Days,,,Dell,Unknown,,
men running shoes,Boat men running shoes Model 178,,,,,4.9,2712,Croma,,Free Delivery,,,Boat,Unknown,,
power bank fast charging,HP power bank fast charging Model 937,45235.0,,,,2.5,1819,Reliance Digital,,2 Days,,,HP,Luxury,,
men running shoes,Nike men running shoes Model 692,6110.0,,,,2.9,3598,Croma,,2 Days,,,Nike,Premium,,
power bank fast charging,HP power bank fast charging Model 815,5912.0,,,,3.6,80,Reliance Digital,,Free Delivery,,,HP,Premium,,
men running shoes,Dell men running shoes Model 679,,,,,3.5,19,Reliance Digital,,5 Days,,,Dell,Unknown,,
power bank fast charging,Sony power bank fast charging Model 101,35363.0,,,,4.4,2354,Amazon,,Free Delivery,,,Unknown,Luxury,,
power bank fast charging,Puma power bank fast charging Model 415,8944.0,,,,3.7,2974,Amazon,,2 Days,,,Puma,Premium,,
air fryer India,HP air fryer India Model 947,26570.0,,,,4.9,1076,Croma,,2 Days,,,HP,Luxury,,
microwave oven convection,Puma microwave oven convection Model 212,12632.0,,,,3.0,2291,Flipkart,,Free Delivery,,,Puma,Premium,,
office chair ergonomic,HP office chair ergonomic Model 314,40602.0,,,,4.0,4062,Amazon,,Free Delivery,,,HP,Luxury,,
air fryer India,Nike air fryer India Model 150,26407.0,,,,2.9,3910,Reliance Digital,,Free Delivery,,,Nike,Luxury,,
men running shoes,HP men running shoes Model 129,42006.0,,,,4.5,3287,Flipkart,,5 Days,,,HP,Luxury,,
air fryer India,Dell air fryer India Model 363,23530.0,,,,4.0,641,Flipkart,,2 Days,,,Dell,Luxury,,
men running shoes,Nike men running shoes Model 347,31724.0,,,,3.1,612,Reliance Digital,,2 Days,,,Nike,Luxury,,
microwave oven convection,Philips microwave oven convection Model 280,23316.0,,,,2.5,1090,Flipkart,,2 Days,,,Philips,Luxury,,
power bank fast charging,Samsung power bank fast charging Model 440,13597.0,,,,3.6,4156,Amazon,,2 Days,,,Samsung,Premium,,
microwave oven convection,Philips microwave oven convection Model 635,12598.0,,,,4.1,3062,Amazon,,2 Days,,,Philips,Premium,,
men running shoes,Sony men running shoes Model 596,12685.0,,,,5.0,1964,Flipkart,,2 Days,,,Unknown,Premium,,
air fryer India,LG air fryer India Model 884,3840.0,,,,4.9,2735,Croma,,5 Days,,,LG,Mid-Range,,
air fryer India,Nike air fryer India Model 458,9171.0,,,,2.5,3658,Reliance Digital,,2 Days,,,Nike,Premium,,
men running shoes,Samsung men running shoes Model 561,,,,,3.5,4897,Amazon,,2 Days,,,Samsung,Unknown,,
men running shoes,Boat men running shoes Model 997,44964.0,,,,3.6,802,Amazon,,2 Days,,,Boat,Luxury,,
air fryer India,LG air fryer India Model 348,,,,,4.3,806,Reliance Digital,,Free Delivery,,,LG,Unknown,,
power bank fast charging,Puma power bank fast charging Model 235,44793.0,,,,4.2,4777,Flipkart,,5 Days,,,Puma,Luxury,,
microwave oven convection,Sony microwave oven convection Model 224,5069.0,,,,4.3,2597,Reliance Digital,,2 Days,,,Unknown,Premium,,
office chair ergonomic,Puma office chair ergonomic Model 226,14746.0,,,,3.1,1199,Croma,,2 Days,,,Puma,Premium,,
power bank fast charging,Nike power bank fast charging Model 262,19476.0,,,,4.0,4865,Amazon,,Free Delivery,,,Nike,Premium,,
men running shoes,HP men running shoes Model 563,26629.0,,,,3.8,371,Croma,,Free Delivery,,,HP,Luxury,,
office chair ergonomic,LG office chair ergonomic Model 315,,,,,2.5,517,Amazon,,Free Delivery,,,LG,Unknown,,
microwave oven convection,Dell microwave oven convection Model 822,,,,,2.8,4732,Croma,,5 Days,,,Dell,Unknown,,
power bank fast charging,Philips power bank fast charging Model 553,,,,,4.6,1856,Flipkart,,Free Delivery,,,Philips,Unknown,,
power bank fast charging,HP power bank fast charging Model 573,34168.0,,,,4.3,1223,Flipkart,,2 Days,,,HP,Luxury,,
microwave oven convection,Sony microwave oven convection Model 911,1095.0,,,,3.5,2227,Reliance Digital,,5 Days,,,Unknown,Mid-Range,,
microwave oven convection,Puma microwave oven convection Model 342,24507.0,,,,2.7,389,Amazon,,5 Days,,,Puma,Luxury,,
microwave oven convection,Sony microwave oven convection Model 764,26390.0,,,,4.1,1905,Croma,,Free Delivery,,,Unknown,Luxury,,
men running shoes,Boat men running shoes Model 978,42076.0,,,,,2971,Amazon,,5 Days,,,Boat,Luxury,,
microwave oven convection,Samsung microwave oven convection Model 210,11972.0,,,,3.6,629,Flipkart,,2 Days,,,Samsung,Premium,,
microwave oven convection,HP microwave oven convection Model 133,3630.0,,,,3.7,4648,Amazon,,Free Delivery,,,HP,Mid-Range,,
office chair ergonomic,Puma office chair ergonomic Model 837,13147.0,,,,4.2,32,Croma,,5 Days,,,Puma,Premium,,
air fryer India,Puma air fryer India Model 186,,,,,3.8,1856,Flipkart,,2 Days,,,Puma,Unknown,,
microwave oven convection,Puma microwave oven convection Model 541,18499.0,,,,3.4,2522,Reliance Digital,,2 Days,,,Puma,Premium,,
power bank fast charging,Sony power bank fast charging Model 286,12239.0,,,,3.7,4088,Croma,,2 Days,,,Unknown,Premium,,
power bank fast charging,Puma power bank fast charging Model 383,45126.0,,,,3.0,3458,Amazon,,2 Days,,,Puma,Luxury,,
office chair ergonomic,Dell office chair ergonomic Model 133,5073.0,,,,3.3,515,Reliance Digital,,2 Days,,,Dell,Premium,,
power bank fast charging,HP power bank fast charging Model 103,9195.0,,,,4.3,426,Amazon,,5 Days,,,HP,Premium,,
office chair ergonomic,LG office chair ergonomic Model 731,,,,,3.0,3496,Amazon,,Free Delivery,,,LG,Unknown,,
microwave oven convection,Puma microwave oven convection Model 554,7198.0,,,,4.8,4075,Amazon,,5 Days,,,Puma,Premium,,
power bank fast charging,Puma power bank fast charging Model 535,42894.0,,,,4.0,387,Flipkart,,Free Delivery,,,Puma,Luxury,,
air fryer India,Puma air fryer India Model 114,19237.0,,,,4.2,2847,Croma,,Free Delivery,,,Puma,Premium,,
office chair ergonomic,LG office chair ergonomic Model 168,229430.0,,,,3.2,2872,Flipkart,,2 Days,,,LG,Luxury,,
office chair ergonomic,Nike office chair ergonomic Model 171,48035.0,,,,4.6,4068,Flipkart,,Free Delivery,,,Nike,Luxury,,
microwave oven convection,Puma microwave oven convection Model 226,45427.0,,,,,3127,Flipkart,,Free Delivery,,,Puma,Luxury,,
power bank fast charging,Sony power bank fast charging Model 726,2163.0,,,,3.5,1528,Reliance Digital,,Free Delivery,,,Unknown,Mid-Range,,
office chair ergonomic,Boat office chair ergonomic Model 626,21070.0,,,,3.5,2232,Amazon,,5 Days,,,Boat,Luxury,,
microwave oven convection,HP microwave oven convection Model 277,36657.0,,,,4.7,4480,Croma,,Free Delivery,,,HP,Luxury,,
air fryer India,HP air fryer India Model 527,38330.0,,,,3.3,1963,Flipkart,,Free Delivery,,,HP,Luxury,,
men running shoes,Boat men running shoes Model 948,10068.0,,,,4.5,3869,Reliance Digital,,2 Days,,,Boat,Premium,,
power bank fast charging,LG power bank fast charging Model 896,47595.0,,,,4.1,2583,Reliance Digital,,Free Delivery,,,LG,Luxury,,
air fryer India,LG air fryer India Model 404,,,,,3.4,4079,Amazon,,5 Days,,,LG,Unknown,,
office chair ergonomic,Dell office chair ergonomic Model 164,45070.0,,,,4.1,2690,Flipkart,,2 Days,,,Dell,Luxury,,
air fryer India,Nike air fryer India Model 194,31793.0,,,,,2201,Amazon,,5 Days,,,Nike,Luxury,,
microwave oven convection,Boat microwave oven convection Model 173,47111.0,,,,3.6,2074,Reliance Digital,,Free Delivery,,,Boat,Luxury,,
microwave oven convection,Samsung microwave oven convection Model 145,44221.0,,,,4.5,4997,Croma,,5 Days,,,Samsung,Luxury,,
microwave oven convection,Puma microwave oven convection Model 321,28313.0,,,,3.5,4186,Reliance Digital,,Free Delivery,,,Puma,Luxury,,
air fryer India,LG air fryer India Model 163,22657.0,,,,3.8,3631,Croma,,5 Days,,,LG,Luxury,,
microwave oven convection,Philips microwave oven convection Model 889,861.0,,,,5.0,1382,Amazon,,2 Days,,,Philips,Budget,,
power bank fast charging,Nike power bank fast charging Model 172,,,,,3.0,263,Croma,,2 Days,,,Nike,Unknown,,
power bank fast charging,Philips power bank fast charging Model 541,46064.0,,,,4.9,3147,Reliance Digital,,Free Delivery,,,Philips,Luxury,,
air fryer India,Philips air fryer India Model 594,41057.0,,,,3.6,3166,Reliance Digital,,2 Days,,,Philips,Luxury,,
office chair ergonomic,HP office chair ergonomic Model 891,42516.0,,,,4.6,2855,Croma,,Free Delivery,,,HP,Luxury,,
office chair ergonomic,HP office chair ergonomic Model 552,46946.0,,,,2.7,3568,Flipkart,,2 Days,,,HP,Luxury,,
microwave oven convection,Nike microwave oven convection Model 509,8160.0,,,,,4917,Reliance Digital,,Free Delivery,,,Nike,Premium,,
microwave oven convection,Sony microwave oven convection Model 163,30641.0,,,,4.0,3963,Flipkart,,Free Delivery,,,Unknown,Luxury,,
men running shoes,Samsung men running shoes Model 605,40321.0,,,,3.9,2672,Croma,,5 Days,,,Samsung,Luxury,,
office chair ergonomic,Samsung office chair ergonomic Model 229,,,,,2.7,439,Amazon,,2 Days,,,Samsung,Unknown,,
air fryer India,Puma air fryer India Model 553,41567.0,,,,4.5,2251,Amazon,,Free Delivery,,,Puma,Luxury,,
power bank fast charging,Puma power bank fast charging Model 990,27357.0,,,,3.7,1960,Croma,,5 Days,,,Puma,Luxury,,
office chair ergonomic,Boat office chair ergonomic Model 178,5007.0,,,,4.5,543,Amazon,,2 Days,,,Boat,Premium,,
power bank fast charging,LG power bank fast charging Model 658,19178.0,,,,4.9,4495,Reliance Digital,,2 Days,,,LG,Premium,,
microwave oven convection,Nike microwave oven convection Model 392,18929.0,,,,3.7,4407,Amazon,,Free Delivery,,,Nike,Premium,,
air fryer India,HP air fryer India Model 426,22209.0,,,,,1544,Reliance Digital,,Free Delivery,,,HP,Luxury,,
office chair ergonomic,Dell office chair ergonomic Model 777,11887.0,,,,2.7,153,Flipkart,,2 Days,,,Dell,Premium,,
office chair ergonomic,Philips office chair ergonomic Model 798,,,,,3.6,,Flipkart,,5 Days,,,Philips,Unknown,,
air fryer India,Nike air fryer India Model 948,17183.0,,,,2.7,130,Croma,,2 Days,,,Nike,Premium,,
microwave oven convection,HP microwave oven convection Model 218,1280.0,,,,,4982,Flipkart,,Free Delivery,,,HP,Mid-Range,,
microwave oven convection,Philips microwave oven convection Model 209,27815.0,,,,3.2,4406,Reliance Digital,,5 Days,,,Philips,Luxury,,
men running shoes,Puma men running shoes Model 923,49220.0,,,,2.8,3066,Flipkart,,5 Days,,,Puma,Luxury,,
air fryer India,Boat air fryer India Model 706,,,,,2.8,750,Reliance Digital,,Free Delivery,,,Boat,Unknown,,
power bank fast charging,LG power bank fast charging Model 398,4006.0,,,,3.9,3536,Reliance Digital,,Free Delivery,,,LG,Mid-Range,,
air fryer India,Philips air fryer India Model 348,14376.0,,,,4.6,2307,Croma,,5 Days,,,Philips,Premium,,
